"inverse_data","week_day","hour","state","road_id","km","city","cause_of_accident","type_of_accident","victims_condition","weather_timestamp","road_direction","wheather_condition","road_type","road_delineation","people","deaths","slightly_injured","severely_injured","uninjured","ignored","total_injured","vehicles_involved","latitude","longitude","regional","police_station"
"2017-02-15","wednesday","09:15:00","SC","101","112","ITAJAI","Driver's lack of attention to conveyance","Broadside collision","With injured victims","Day","Decreasing","Clear sky","Double","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-2.684813e+01","-4.872341e+01","SPRF-SC","DEL04-SC"
"2017-02-15","wednesday","09:30:00","SC","101","290","IMBITUBA","Driver's lack of attention to conveyance","Side impact collision","With injured victims","Day","Increasing","Clear sky","Double","Straight"," 3"," 0"," 2"," 0"," 1"," 0"," 2"," 2","-2.827385e+01","-4.869999e+01","SPRF-SC","DEL02-SC"
"2017-02-15","wednesday","09:20:00","SC","101","330","TUBARAO","Driver's lack of attention to conveyance","Rear-end collision","Without victims","Day","Decreasing","Clear sky","Double","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-2.845130e+01","-4.897330e+01","SPRF-SC","DEL02-SC"
"2017-02-15","wednesday","07:50:00","SC","470","267,2","CURITIBANOS","Driver's lack of attention to conveyance","Run-off-road","Without victims","Day","Decreasing","Clear sky","Simple","Not Reported"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-2.731366e+01","-5.073383e+01","SPRF-SC","DEL05-SC"
"2017-02-15","wednesday","10:30:00","MG","262","858,2","CAMPO FLORIDO","Driver broke the laws of transit","Side impact collision","With injured victims","Day","Decreasing","Clear sky","Double","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-1.978820e+01","-4.841090e+01","SPRF-MG","DEL13-MG"
"2017-02-15","wednesday","09:50:00","MT","364","576","NOBRES","Driver's lack of attention to conveyance","Run-off-road","Without victims","Day","Decreasing","Cloudy","Simple","Straight"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-1.461351e+01","-5.625498e+01","SPRF-MT","DEL01-MT"
"2017-02-15","wednesday","12:10:00","RS","470","228","GARIBALDI","Driver's lack of attention to conveyance","Broadside collision","With injured victims","Day","Increasing","Clear sky","Simple","Authorized U-turn"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-2.926913e+01","-5.149903e+01","SPRF-RS","DEL06-RS"
"2017-02-15","wednesday","09:45:00","CE","402","191,5","MORRINHOS","Excessive load/cargo","Cargo spill","With injured victims","Day","Increasing","Clear sky","Simple","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-3.201133e+00","-4.008760e+01","SPRF-CE","DEL01-CE"
"2017-02-15","wednesday","12:50:00","GO","60","13","SANTO ANTONIO DO DESCOBERTO","Driver's lack of attention to conveyance","Rear-end collision","With injured victims","Day","Decreasing","Clear sky","Double","Straight"," 3"," 0"," 1"," 0"," 2"," 0"," 1"," 2","-1.611304e+01","-4.834333e+01","SPRF-DF","DEL01-DF"
"2017-02-15","wednesday","13:30:00","PR","153","124,5","IBAITI","Excessive load/cargo","Overturn","With dead victims","Day","Decreasing","Clear sky","Simple","Curve"," 2"," 1"," 1"," 0"," 0"," 0"," 1"," 1","-2.396174e+01","-5.023755e+01","SPRF-PR","DEL07-PR"
"2017-02-15","wednesday","11:30:00","MT","70","591","POCONE","Driver's lack of attention to conveyance","Overturn","Without victims","Day","Decreasing","Cloudy","Simple","Curve"," 2"," 0"," 0"," 0"," 1"," 1"," 0"," 2","-1.582032e+01","-5.672737e+01","SPRF-MT","DEL03-MT"
"2017-02-15","wednesday","14:15:00","MS","163","526,4","JARAGUARI","Excessive load/cargo","Overturn","With injured victims","Day","Decreasing","Clear sky","Simple","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 1","-2.010209e+01","-5.443993e+01","SPRF-MS","DEL01-MS"
"2017-02-15","wednesday","15:39:00","SP","116","293,8","ITAPECERICA DA SERRA","Driver's lack of attention to conveyance","Minor incidental damage","Without victims","Day","Increasing","Sunny","Double","Straight"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-2.374889e+01","-4.690084e+01","SPRF-SP","DEL04-SP"
"2017-02-15","wednesday","16:00:00","SC","116","245,6","LAGES","Mechanical loss/defect of vehicle","Rear-end collision","Without victims","Day","Increasing","Cloudy","Simple","Roundabout"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-2.780014e+01","-5.036379e+01","SPRF-SC","DEL05-SC"
"2017-02-15","wednesday","15:45:00","RS","101","72,8","OSORIO","Incompatible velocity","Run-off-road","Without victims","Day","Decreasing","Rainy","Double","Curve"," 3"," 0"," 0"," 0"," 3"," 0"," 0"," 1","-2.977246e+01","-5.021788e+01","SPRF-RS","DEL03-RS"
"2017-02-15","wednesday","16:00:00","RJ","101","309","SAO GONCALO","Driver's lack of attention to conveyance","Rear-end collision","With injured victims","Day","Decreasing","Clear sky","Double","Not Reported"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-2.279470e+01","-4.303340e+01","SPRF-RJ","DEL02-RJ"
"2017-02-15","wednesday","15:00:00","MT","364","304","JACIARA","Disrespect of safe distance from the next car","Rear-end collision","Without victims","Sunset","Decreasing","Cloudy","Double","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-1.582530e+01","-5.519670e+01","SPRF-MT","DEL02-MT"
"2017-02-15","wednesday","16:00:00","PR","376","204,8","MANDAGUARI","Mechanical loss/defect of vehicle","Overturn","Without victims","Day","Decreasing","Clear sky","Double","Curve"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-2.352756e+01","-5.171950e+01","SPRF-PR","DEL07-PR"
"2017-02-15","wednesday","13:00:00","GO","153","532","HIDROLANDIA","Pedestrian's lack of attention","Pedestrian collision","With injured victims","Day","Increasing","Clear sky","Double","Curve"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 1","-1.697610e+01","-4.923020e+01","SPRF-GO","DEL01-GO"
